pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID008,C_to_C,C05,C06,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C02,C01,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.7,high,Higher nightmare vividness is associated with higher chance of awakening and recall; direction may be bidirectional.
pseudoprofile_FTC_ID041,C_to_C,C03,C01,unknown,unknown,0-6h,0.65,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C04,C01,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C04,C02,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.55,high,Higher acute autonomic arousal may be associated with stronger dream recall/vividness.
pseudoprofile_FTC_ID041,C_to_C,C03,C02,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C01,C02,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C01,C03,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.6,high,Having awakened may increase anticipatory fear about future sleep (next-night anticipatory worry).
pseudoprofile_FTC_ID041,C_to_C,C06,C03,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C05,C03,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C05,C04,unknown,unknown,0-6h,0.85,very_high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C01,C04,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.8,very_high,Nightmare-triggered awakenings are tightly coupled with acute autonomic arousal on awakening.
pseudoprofile_FTC_ID041,C_to_C,C06,C04,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C04,C05,monotonic_positive,hypothesized_direct_causal,0-6h,0.85,very_high,Acute autonomic arousal on awakening strongly drives prolonged post-awakening activation.
pseudoprofile_FTC_ID041,C_to_C,C06,C05,unknown,unknown,0-6h,0.75,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C01,C05,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C05,C06,monotonic_positive,hypothesized_direct_causal,0-6h,0.75,high,Longer prolonged activation predicts greater difficulty resuming sleep.
pseudoprofile_FTC_ID041,C_to_C,C04,C06,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,C_to_C,C03,C06,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C04,C01,monotonic_negative,hypothesized_direct_causal,0-24h,0.7,high,Broad blunting reduces positive reactivity.
pseudoprofile_FTC_ID002,C_to_C,C03,C01,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C06,C01,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C01,C02,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.6,high,Lower positive reactivity often increases guilt about not enjoying.
pseudoprofile_FTC_ID002,C_to_C,C04,C02,unknown,unknown,0-6h,0.35,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C05,C02,unknown,unknown,0-6h,0.25,low,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C06,C03,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.55,high,Low motivation may perpetuate autopilot through less varied behavior.
pseudoprofile_FTC_ID002,C_to_C,C05,C03,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.4,medium,Consistent outward masking might be associated with internal autopilot.
pseudoprofile_FTC_ID002,C_to_C,C04,C03,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C01,C04,unknown,unknown,0-6h,0.7,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C03,C04,monotonic_positive,hypothesized_direct_causal,0-24h,0.65,high,Sustained autopilot associated with blunted affect.
pseudoprofile_FTC_ID002,C_to_C,C06,C04,unknown,unknown,0-6h,0.35,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C02,C05,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.4,medium,Guilt about not enjoying experiences may lead to increased outward masking during the day.
pseudoprofile_FTC_ID002,C_to_C,C03,C05,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C04,C05,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C03,C06,monotonic_negative,hypothesized_direct_causal,0-24h,0.75,high,Autopilot reduces motivation/initiative over the day.
pseudoprofile_FTC_ID002,C_to_C,C04,C06,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C01,C06,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
