pseudoprofile_id,from_predictor_var_id,to_criterion_var_id,expected_sign,lag_spec,notes
pseudoprofile_FTC_ID045,P03,C02,-,0-6h,Reappraisal reduces catastrophic firing fears.
pseudoprofile_FTC_ID045,P05,C05,-,0-6h,Offloading supports attention stability.
pseudoprofile_FTC_ID045,P06,C02,-,0-6h,Less threat monitoring reduces fear amplification.
pseudoprofile_FTC_ID045,P01,C05,-,0-24h,Sleep sufficiency improves attention/working memory.
pseudoprofile_FTC_ID045,P02,C01,-,0-6h,Breaks reduce lapses leading to fewer errors.
pseudoprofile_FTC_ID045,P04,C04,-,24-48h,Less overtime permits recovery; fatigue reduces next day.
pseudoprofile_FTC_ID003,P01,C01,-,0-6h,Vagal activation lowers acute panic intensity.
pseudoprofile_FTC_ID003,P01,C02,-,0-6h,Reduces muscle tension and perceived constriction.
pseudoprofile_FTC_ID003,P01,C03,-,0-6h,Lower arousal weakens fainting conviction.
pseudoprofile_FTC_ID003,P01,C04,-,0-6h,Less arousal reduces social-evaluative distress.
pseudoprofile_FTC_ID003,P01,C05,-,0-6h,Downshift reduces checking urge/enactment.
pseudoprofile_FTC_ID003,P02,C01,-,0-6h,External focus counters interoceptive amplification.
pseudoprofile_FTC_ID003,P02,C02,-,0-6h,Less attention to chest reduces perceived tightness.
pseudoprofile_FTC_ID003,P02,C03,-,0-6h,Threat disengagement reduces fainting expectation.
pseudoprofile_FTC_ID003,P02,C04,-,0-6h,Less self-focused attention reduces embarrassment.
pseudoprofile_FTC_ID003,P02,C05,-,0-6h,Decreased internal scanning reduces checking.
pseudoprofile_FTC_ID003,P03,C01,-,0-6h,Reappraisal lowers perceived threat driving spikes.
pseudoprofile_FTC_ID003,P03,C02,-,0-6h,Safety framing reduces somatic vigilance.
pseudoprofile_FTC_ID003,P03,C03,-,0-6h,Directly targets fainting belief.
pseudoprofile_FTC_ID003,P03,C04,-,0-6h,Reappraisal reduces evaluative concerns.
pseudoprofile_FTC_ID003,P03,C05,-,0-6h,Lower danger appraisal reduces checking.
pseudoprofile_FTC_ID003,P04,C01,-,0-6h,Staying reduces escalation; builds tolerance.
pseudoprofile_FTC_ID003,P04,C02,-,0-6h,Less escape keeps arousal manageable; less somatic focus.
pseudoprofile_FTC_ID003,P04,C03,-,0-24h,Mastery updates belief about fainting.
pseudoprofile_FTC_ID003,P04,C04,-,0-24h,Successful tolerance reduces embarrassment.
pseudoprofile_FTC_ID003,P04,C05,-,0-6h,Response prevention substitutes for checking.
pseudoprofile_FTC_ID003,P05,C01,nonlinear,multi_lag,Likely acute increase then longer-term reduction.
pseudoprofile_FTC_ID003,P05,C02,nonlinear,multi_lag,Somatic sensations may spike in-session then drop.
pseudoprofile_FTC_ID003,P05,C03,nonlinear,multi_lag,Beliefs may initially worsen then improve with learning.
pseudoprofile_FTC_ID003,P05,C04,nonlinear,multi_lag,Evaluative fear may spike then reduce over time.
pseudoprofile_FTC_ID003,P05,C05,nonlinear,multi_lag,Checking may rise during exposure but fall with repetition.
pseudoprofile_FTC_ID003,P06,C01,-,0-24h,Better sleep lowers next-day reactivity.
pseudoprofile_FTC_ID003,P06,C02,-,0-24h,Lower tension reduces chest tightness risk.
pseudoprofile_FTC_ID003,P06,C03,-,0-24h,Improved sleep reduces catastrophic bias.
pseudoprofile_FTC_ID003,P06,C04,-,0-24h,Affect regulation improves with sleep.
pseudoprofile_FTC_ID003,P06,C05,-,0-24h,Less arousal diminishes checking urges.
pseudoprofile_FTC_ID003,P07,C01,+,0-6h,Caffeine acutely increases arousal and panic risk.
pseudoprofile_FTC_ID003,P07,C02,+,0-6h,Increases palpitations/tension perception.
pseudoprofile_FTC_ID003,P07,C03,+,0-6h,Amplified sensations feed fainting belief.
pseudoprofile_FTC_ID003,P07,C04,+,0-6h,Higher arousal heightens evaluative concern.
pseudoprofile_FTC_ID003,P07,C05,+,0-6h,Stimulated arousal increases checking behavior.
