pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID001,predictor,P05,,Mindfulness-Based Self-Regulation,[PSYCHO] Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions,PSYCHO,MED,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, rate your current level of mindful awareness or compassionate self-regulation (1-9).",1-9 Likert,4,since last_prompt,high
pseudoprofile_FTC_ID001,predictor,P06,,Social Support & Belonging,[SOCIAL] Social_Support_and_Belonging / Network_Building_And_Maintenance,SOCIAL,MED,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, to what extent did you feel supported by others today (1-9 scale)?",1-9 Likert,4,since last_prompt,high
pseudoprofile_FTC_ID050,criterion,C01,custom,Speech-related word-retrieval lapses,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"In the last speaking moment, did you experience a word retrieval lapse (a momentary blank where you couldn't retrieve a word)?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,criterion,C02,custom,Fear about aging/cognitive decline,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now, are you distressed by the thought that speech lapses indicate aging or cognitive decline?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,criterion,C03,custom,Self‑consciousness during conversation,,,MED,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now, how self-conscious or embarrassed do you feel about your speech in this moment?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,criterion,C04,custom,Reduction in verbal engagement,,,MED,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, to what extent did you speak less than usual in conversations?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,criterion,C05,custom,Anticipatory worry about speaking,,,MED,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now, how worried are you about upcoming speaking opportunities?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,predictor,P01,,Word retrieval strategy practice (cued retrieval strategies during conversation),[PSYCHO] / language_and_verbal_cognition / lexical_and_semantic_fluency / access_and_retrieve_words,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, did you actively practice word retrieval strategies (e.g., cued retrieval, sentence starters) during speaking?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,predictor,P02,,Lexical and semantic fluency training (word retrieval practice),[PSYCHO] / language_and_verbal_cognition / lexical_and_semantic_fluency,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, did you practice word retrieval training (e.g., letter cue or semantic cue) before or during speaking?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,predictor,P03,,Self-talk transcription practice (monitoring),[PSYCHO] / metacognition_and_attention_based_interventions / self_talk_transcription_practice,PSYCHO,MED,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, did you notice and transcribe your self-talk during speaking (e.g., 'I can't remember that word' to 'I can find another word')?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,predictor,P04,,Self-talk for delay and choice (urge management),[PSYCHO] / cognitive_behavioral_therapies / exposure_and_inhibitory_learning,PSYCHO,MED,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, did you use self-talk to delay or reframe upcoming speech opportunities?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID050,predictor,P05,,Spaced retrieval practice (memory retrieval strategy),[PSYCHO] / cognitive_capacity_enhancement_and_stimulation / cognitive_remediation_and_rehabilitation / *spaced_retrieval_practice,PSYCHO,MED,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, did you engage in spaced retrieval practice for word retrieval (brief retrieval training)?",0-9,4,since last prompt,high
pseudoprofile_FTC_ID004,criterion,C01,custom,Low frustration tolerance / irritability,,,HIGH,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate how irritable or prone to snapping you felt during interactions with others (1=not at all irritated, 9=extremely irritated).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,criterion,C02,custom,Heightened sensitivity to specific triggers,,,MED,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate how reactive you felt to recurring cues (e.g., dishes, partner’s tone) in this moment (1=not reactive, 9=extremely reactive).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,criterion,C03,custom,Post-episode emotional collapse (crying),,,MED,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, to what extent did you experience a strong urge to cry or actually cry after an interpersonal conflict (1=none, 9=extremely).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,criterion,C04,custom,Self-directed distress / loss of self-recognition,,,HIGH,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate your level of distress and perceived alienation from self (1=not at all, 9=extremely).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,criterion,C05,custom,Intention to be kind vs failure to enact it,,,MED,higher_is_better,EMA_self_report,smartphone_EMA_app,momentary,"In this moment, rate how strongly you intend to be kind and not hurtful, and how well you followed through (1=not at all, 9=fully).",1-9,4,since_last_prompt,medium
pseudoprofile_FTC_ID004,criterion,C06,custom,Maladaptive immediate coping (withdrawal/crying),,,MED,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate your use of withdrawal/secretive crying as a coping response in the moment (1=not at all, 9=very much).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,criterion,C07,custom,Interpersonal strain / relationship impact,,,MED,higher_is_worse,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate the perceived strain in your partner relationship (1=not strained, 9=extremely strained) and warmth/trust in interactions (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P01,,Emotion Regulation Skills Training (Broad),[PSYCHO] Cognitive_Behavioral_Therapies > Emotion_Regulation_and_Affective_Mastery,PSYCHO,HIGH,,EMA_self_report,smartphone_EMA_app,momentary,Rate your current ability to regulate emotions in this moment (1-9; higher = better regulation).,1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P02,,Trigger/Environment Modification,[SOCIAL] Interpersonal_Therapeutic_Solutions > Contextual_supports,SOCIAL,MED,,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate how much your environment contributed to triggering irritation in this moment (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P03,,Couple Communication Skills for Repair,[SOCIAL] Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair,SOCIAL,MED,,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate your attempt to repair the interaction with your partner (1-9) and perceived success (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P04,,Self-Compassion & Distress Processing,[PSYCHO] Core_Psychological_Skills_Toolkits > Compassionate_Self_Relating_and_Internal_Support,PSYCHO,MED,,EMA_self_report,smartphone_EMA_app,momentary,"In this moment, rate how self-compassionate you feel toward yourself (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P05,,Adaptive Self-Monitoring & Feedback,[PSYCHO] Measurement_Based_Care_and_Feedback > Self_Assessment_and_Logs,PSYCHO,MED,,EMA_self_report,smartphone_EMA_app,momentary,"Since the last prompt, rate how often you engaged in a coping strategy (1-9) and how useful it was (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID004,predictor,P06,,Mindfulness-Based Regulation & Distress Tolerance,[PSYCHO] Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions,PSYCHO,MED,,EMA_self_report,smartphone_EMA_app,momentary,"In this moment, rate your present level of mindful awareness and nonreactivity (1-9).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C01,custom,Episodic tingling in hands/feet,,,HIGH,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"In the moment, rate your tingling in hands/feet on a 1–9 scale (1 = none, 9 = severe).",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C02,custom,Acute anxiety when sensations occur,,,HIGH,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"Right now, when tingling occurs, rate your anxiety level on a 1–9 scale (1 = not anxious, 9 = extremely anxious).",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C03,custom,Symptom–anxiety amplification loop,,,MED,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"Since the last prompt, to what extent did anxiety amplify the tingling sensation (1–9)?",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C04,custom,Catastrophic/threat interpretation of sensations,,,HIGH,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"Right now, how dangerous or threatening do you consider the tingling? (1 = not dangerous at all, 9 = extremely dangerous).",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C05,custom,Uncertainty about medical cause,,,MED,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"Rate your uncertainty about the medical cause of tingling (1 = completely certain, 9 = completely uncertain).",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,criterion,C06,custom,Heightened bodily monitoring/interoceptive focus,,,MED,higher_is_worse,EMA_self_report,Smartphone EMA app,momentary,"Right now, to what extent are you actively monitoring your body sensations? (1 = not at all, 9 = extremely).",1-9,6,past_1_hour,high
pseudoprofile_FTC_ID049,predictor,P01,,Threat reinterpretation via cognitive reappraisal (CBT) usage,[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation,PSYCHO,HIGH,,EMA_self_report,Smartphone EMA app,momentary,To what extent are you using cognitive reappraisal to view the tingling as less dangerous? (1-9),1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P02,,Interoceptive mindfulness engagement,[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions,PSYCHO,MED,,EMA_self_report,Smartphone EMA app,momentary,"Right now, to what extent are you practicing body-focused mindfulness or interoceptive awareness? (1-9)",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P03,,Structured medical communication clarity,[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules > Clarity_of_medical_information,PSYCHO,MED,,EMA_self_report,Smartphone EMA app,momentary,"Today, how clear did medical information feel about the tingling cause? (1-9)",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P04,,Diaphragmatic breathing and paced respiration,[PSYCHO] > Sleep_Circadian_and_Restoration > Breathing_and_ARousal_Management,PSYCHO,MED,,EMA_self_report,Smartphone EMA app,momentary,"Right now, are you using paced breathing or diaphragmatic breathing? (1-9)",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P05,,Behavioral activation and reduction of bodily monitoring,[PSYCHO] > Movement_Physical_Function_and_Somatic_Care > Behavioral_Activation_and_Engagement,PSYCHO,MED,,EMA_self_report,Smartphone EMA app,momentary,"Since the last prompt, have you engaged in an activity away from body monitoring? (1-9)",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P06,,Social support and sense of belonging,[SOCIAL] > Social_Support_and_Belonging > Belonging_and_Support,SOCIAL,MED,,EMA_self_report,Smartphone EMA app,momentary,"Right now, how supported do you feel by your social network? (1-9)",1-9,6,since_last_prompt,high
pseudoprofile_FTC_ID049,predictor,P07,,Sleep optimization and circadian regularity,[BIO] > Sleep_Circadian_and_Restoration > Circadian_Entrainment,BIO,MED,,EMA_self_report,Smartphone EMA app,momentary,Last night’s sleep quality (1-9) and wake time regularity today (1-9).,1-9,6,past_1_day,high
pseudoprofile_FTC_ID049,predictor,P08,,Digital tools usage for well-being (Care_Delivery_Formats),[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports,PSYCHO,LOW,,EMA_self_report,Smartphone EMA app,momentary,Are you actively using a digital tool for well-being right now? (1-9),1-9,6,since_last_prompt,medium
pseudoprofile_FTC_ID036,criterion,C01,custom,Attentional disengagement during conversations,,,HIGH,unknown,EMA_self_report,Smartphone EMA app,momentary,"Right now, how distracted or mind-wandering are you during the current conversation? Rate from 1 (completely focused) to 9 (completely distracted).",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,criterion,C03,custom,Failure to register/recall key conversational content,,,HIGH,unknown,EMA_self_report,Smartphone EMA app,momentary,"Right now, how well did you understand and register what was said in the most recent part of the conversation? Rate from 1 (fully understood) to 9 (not understood).",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,criterion,C04,custom,Negative self-evaluation after lapses,,,MED,unknown,EMA_self_report,Smartphone EMA app,momentary,"Since the last prompt, how much did you judge yourself negatively for attentional lapses? Rate from 1 (not at all) to 9 (very strongly).",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,criterion,C06,custom,Ability to reorient attention and repair understanding,,,MED,unknown,EMA_self_report,Smartphone EMA app,momentary,"Capacity to notice the lapse, refocus on the speaker, and recover or clarify missed information (e.g., ask for repetition, summarize aloud). Rate from 1 (not capable) to 9 (highly capable).",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,predictor,P01,,Sleep quality and circadian alignment,[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices,BIO,HIGH,,EMA_self_report,Smartphone EMA app,morning_diary,How well did you sleep last night? Rate 1 (very poor) to 9 (excellent).,9-point Likert,1,last night,high
pseudoprofile_FTC_ID036,predictor,P02,,Attention regulation practice,[PSYCHO] > Cognitive_Capacity_Enhancement_and_Stimulation > Attention_Systems_Training,PSYCHO,HIGH,,EMA_self_report,Smartphone EMA app,momentary,"Today, I completed a 5–10 minute attention/awareness practice. On a scale 1-9, how true is this for you right now? (1 = not at all, 9 = completely).",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,predictor,P03,,External cognitive supports during conversations,[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats,PSYCHO,MED,,EMA_self_report,Smartphone EMA app,momentary,"In this moment, are you using notes or prompts to help you understand or remember what's being said? Rate 1-9.",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,predictor,P04,,Distraction-minimized social environment during conversations,[SOCIAL] > Digital_Social_Environment > Digital_Tools_and_Supports,SOCIAL,MED,,EMA_self_report,Smartphone EMA app,momentary,"In this moment, are you in a distraction-reduced setting during the conversation (e.g., phone on silent, quiet environment)? Rate 1-9.",9-point Likert,6,since last_prompt,high
pseudoprofile_FTC_ID036,predictor,P05,,Aerobic exercise and hydration,[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities,BIO,MED,,EMA_self_report,Smartphone EMA app,end_of_day,"Today I engaged in aerobic exercise and stayed hydrated. Rate 1-9 (1 = not at all, 9 = fully).",9-point Likert,1,today,high
pseudoprofile_FTC_ID017,criterion,C01,,Work activity during designated rest,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Engages in work-related actions (e.g., checking or responding to work email, doing tasks) during intended days off or other designated rest periods.",1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,criterion,C02,,Lack of perceived restoration,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now or in the recent moment, rest or recovery did not feel refreshing; you cannot recall last time you felt rested.",1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,criterion,C03,,Guilt when attempting to rest,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Experiences guilt or self-reproach when not working or when taking time off, which occurs during rest periods.",1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,criterion,C04,,Perceived inability to stop working,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,Feels unable to stop work-related activity despite wanting or needing a break; reports lack of control over continuing work.,1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,criterion,C05,,Difficulty implementing boundaries,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Has trouble creating or practicing concrete boundary strategies (e.g., turning off notifications).",1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,criterion,C06,,Perceived minimization by social network,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"In recent interactions, to what extent did friends minimize or oversimplify your burnout when you discussed it?",1-9 Likert,4,since_last_prompt,high
pseudoprofile_FTC_ID017,predictor,P01,,Stop threat monitoring and checking,PSYCHO / Cognitive_Behavioral_Therapies / Metacognitive_and_Attention_Based_Interventions / Stop_threat_monitoring_and_checking,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you stop or reduce threat monitoring and checking (e.g., checking work emails) when attempting rest?",1-9 Likert,4,past_24_hours,high
pseudoprofile_FTC_ID017,predictor,P02,,Digital boundaries and recovery plan (digital hygiene),SOCIAL / digital_social_environment / digital_social_environment_solutions / boundaries_and_wellbeing / *digital_overload_recovery_plan,SOCIAL,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you implement the digital overload recovery plan (e.g., notifications off during rest periods)?",1-9 Likert,4,past_24_hours,high
pseudoprofile_FTC_ID017,predictor,P03,,Boundary with external stressors plan,PSYCHO / change_process_and_therapeutic_phases / boundary_planning / *boundary_with_external_stressors_plan,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you implement boundary plans with external stressors (e.g., people, tasks)?",1-9 Likert,4,past_24_hours,high
pseudoprofile_FTC_ID017,predictor,P04,,Reduce time checking behavior,PSYCHO / cognitive_behavioral_therapies / sleep_related_cognitive_behavioral_interventions / conditioning_and_associations / relearning / *reduce_time_checking_behavior,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you reduce time spent checking work emails or messages?",1-9 Likert,4,past_24_hours,high
pseudoprofile_FTC_ID017,predictor,P05,,Weekend social shift mitigation (circadian support),BIO / Sleep_Circadian_and_Restoration / Circadian_Entraining / context_shift_plans / *weekend_social_shift_mitigation,BIO,MED,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you adjust weekend social plans to support recovery (sleep/rest)?",1-9 Likert,4,past_24_hours,medium
pseudoprofile_FTC_ID017,predictor,P06,,Notification and attention management plan,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / boundaries_and_attention_management / *notification_and_attention_management_plan,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In the past 24 hours, to what extent did you implement your notification and attention management plan (e.g., reduced notifications, scheduled checks)?",1-9 Likert,4,past_24_hours,high
pseudoprofile_FTC_ID040,criterion,C01,C01,Migraine unpredictability,,,HIGH,higher_is_worse,EMA_self_report,Mobile_EMA_App,momentary,"In the next 6–12 hours, how unpredictable is your migraine timing? Rate 1 (not at all unpredictable) to 9 (extremely unpredictable).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,criterion,C02,C02,Migraine-related functional impact,,,HIGH,higher_is_worse,EMA_self_report,Mobile_EMA_App,momentary,"In the next 6–12 hours, how much will migraines disrupt your daily activities? Rate 1 (not at all) to 9 (completely disrupts).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,criterion,C03,C03,Inability to commit to plans / avoidance,,,HIGH,higher_is_worse,EMA_self_report,Mobile_EMA_App,momentary,"In the next 24 hours, how likely are you to commit to your planned social/other activities? Rate 1 (not at all likely) to 9 (very likely).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,criterion,C04,C04,Anticipatory anxiety about migraine onset,,,HIGH,higher_is_worse,EMA_self_report,Mobile_EMA_App,momentary,"Right now, how anxious are you about a possible migraine onset in planning and daily activities? Rate 1 (not anxious) to 9 (extremely anxious).",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,criterion,C06,C06,Perceived anxiety-driven exacerbation of migraines,,,HIGH,higher_is_worse,EMA_self_report,Mobile_EMA_App,momentary,How much do you believe your anxiety worsens migraines right now? Rate 1 (not at all) to 9 (extremely).,1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,predictor,P01,,Migraine self-management diary (Migraine log),'[BIO] > personalization_monitoring_and_data_feedback > self_assessment_and_logs > somatic_and_interoceptive_selfreports > *headache_migraine_log',BIO,HIGH,,EMA_self_report,Mobile_EMA_App,momentary,"Right now, rate how predictable migraine timing feels in the near future (6–12 hours) on a 1–9 scale, where higher indicates greater unpredictability.",1-9,4,since_last_prompt,high
pseudoprofile_FTC_ID040,predictor,P02,,Avoidance/reduction of plan-avoidant behavior,'[PSYCHO] / cognitive_behavioral_therapies / behavior_change_activation / assessment_and_functional_analysis / monitoring / *avoidance_reduction_plan',PSYCHO,HIGH,,EMA_self_report,Mobile_EMA_App,momentary,"In the next 12–24 hours, how likely are you to follow through with planned activities? 1-9 scale.",1-9,4,since_last_prompt,high
